MiB,numfiles,delay,N,fpt,run,seconds
1,15,0,3,1,5,1.473362922668457
1,15,0,3,3,1,1.473012924194336
1,15,0,3,3,2,1.4775280952453613
1,15,0,3,3,3,1.4745476245880127
1,15,0,3,3,4,1.4789519309997559
1,15,0,3,3,5,1.5320112705230713
1,15,0,4,1,1,1.4812493324279785
1,15,0,4,1,2,1.4576873779296875
1,15,0,4,1,3,1.4651679992675781
1,15,0,4,1,4,1.473109483718872
1,15,0,4,1,5,1.4713447093963623
1,15,0,4,3,1,1.4864161014556885
1,15,0,4,3,2,1.4683139324188232
1,15,0,4,3,3,1.478313684463501
1,15,0,4,3,4,1.4739341735839844
1,15,0,4,3,5,1.4736742973327637
1,15,0,8,1,1,1.4614932537078857
1,15,0,8,1,2,1.4703600406646729
1,15,0,8,1,3,1.4843676090240479
1,15,0,8,1,4,1.486335039138794
1,15,0,8,1,5,1.4786338806152344
1,15,0,8,3,1,1.4888560771942139
1,15,0,8,3,2,1.460125207901001
1,15,0,8,3,3,1.4791741371154785
1,15,0,8,3,4,1.469398021697998
1,15,0,8,3,5,1.4896748065948486
1,15,50,1,1,1,9.499995708465576
1,15,50,1,1,2,9.493997812271118
1,15,50,1,1,3,9.482432126998901
1,15,50,1,1,4,9.515002965927124
1,15,50,1,1,5,9.484438180923462
1,15,50,1,3,1,9.50180721282959
1,15,50,1,3,2,9.5129873752594
1,15,50,1,3,3,9.552965641021729
1,15,50,1,3,4,9.522732973098755
1,15,50,1,3,5,9.507770776748657
1,15,50,2,1,1,10.509063959121704
1,15,50,2,1,2,10.512356519699097
1,15,50,2,1,3,10.530702829360962
1,15,50,2,1,4,10.516405582427979
1,15,50,2,1,5,10.499817371368408
1,15,50,2,3,1,10.498179912567139
1,15,50,2,3,2,10.495118141174316
1,15,50,2,3,3,10.494156122207642
1,15,50,2,3,4,10.515132665634155
1,15,50,2,3,5,10.499891757965088
1,15,50,3,1,1,11.502966165542603
1,15,50,3,1,2,11.49341630935669
1,15,50,3,1,3,11.498442888259888
1,15,50,3,1,4,11.519020557403564
1,15,50,3,1,5,11.511053085327148
1,15,50,3,3,1,11.505820035934448
1,15,50,3,3,2,11.525244235992432
1,15,50,3,3,3,11.511590480804443
1,15,50,3,3,4,11.527674198150635
1,15,50,3,3,5,11.516976118087769
1,15,50,4,1,1,12.515520811080933
1,15,50,4,1,2,12.494505643844604
1,15,50,4,1,3,12.522145509719849
1,15,50,4,1,4,12.509039163589478
1,15,50,4,1,5,12.530414342880249
1,15,50,4,3,1,12.51890778541565
1,15,50,4,3,2,12.529077529907227
1,15,50,4,3,3,12.506619215011597
1,15,50,4,3,4,12.52106785774231
1,15,50,4,3,5,12.535614728927612
1,15,50,8,1,1,15.515938520431519
1,15,50,8,1,2,15.531232595443726
1,15,50,8,1,3,15.511903524398804
1,15,50,8,1,4,15.520286083221436
1,15,50,8,1,5,15.527761459350586
1,15,50,8,3,1,15.530153512954712
1,15,50,8,3,2,15.515100240707397
1,15,50,8,3,3,15.51159119606018
1,15,50,8,3,4,15.521481275558472
1,15,50,8,3,5,15.51409363746643
1,15,100,1,1,1,17.525771617889404
1,15,100,1,1,2,17.52901577949524
1,15,100,1,1,3,17.529545783996582
1,15,100,1,1,4,17.513975858688354
1,15,100,1,1,5,17.519805431365967
1,15,100,1,3,1,17.517363786697388
1,15,100,1,3,2,17.54167342185974
1,15,100,1,3,3,17.513328790664673
1,15,100,1,3,4,17.518703937530518
1,15,100,1,3,5,17.521098613739014
1,15,100,2,1,1,19.53595519065857
1,15,100,2,1,2,19.532665252685547
1,15,100,2,1,3,19.53191590309143
1,15,100,2,1,4,19.529459714889526
1,15,100,2,1,5,19.541062116622925
1,15,100,2,3,1,19.54638409614563
1,15,100,2,3,2,19.55220651626587
1,15,100,2,3,3,19.536112070083618
1,15,100,2,3,4,19.532841205596924
1,15,100,2,3,5,19.54838728904724
1,15,100,3,1,1,20.55164122581482
1,15,100,3,1,2,20.524223804473877
1,15,100,3,1,3,20.55215358734131
1,15,100,3,1,4,20.52636218070984
1,15,100,3,1,5,20.529953479766846
1,15,100,3,3,1,20.558467864990234
1,15,100,3,3,2,20.534671783447266
1,15,100,3,3,3,20.55025291442871
1,15,100,3,3,4,20.54218888282776
1,15,100,3,3,5,20.547242403030396
1,15,100,4,1,1,22.52925419807434
1,15,100,4,1,2,22.541865587234497
1,15,100,4,1,3,22.550029516220093
1,15,100,4,1,4,22.56122851371765
1,15,100,4,1,5,22.52327799797058
1,15,100,4,3,1,22.551583766937256
1,15,100,4,3,2,22.536067724227905
1,15,100,4,3,3,22.5528404712677
1,15,100,4,3,4,22.54643988609314
1,15,100,4,3,5,22.54817843437195
1,15,100,8,1,1,29.57586407661438
1,15,100,8,1,2,29.55256962776184
1,15,100,8,1,3,29.55112600326538
1,15,100,8,1,4,29.582130908966064
1,15,100,8,1,5,29.56835103034973
1,15,100,8,3,1,29.555042266845703
1,15,100,8,3,2,29.569493532180786
1,15,100,8,3,3,29.567269802093506
1,15,100,8,3,4,29.555527925491333
1,15,100,8,3,5,29.56842589378357
5,1,0,1,1,1,1.472198724746704
5,1,0,1,1,2,1.4817562103271484
5,1,0,1,1,3,1.5003812313079834
5,1,0,1,1,4,1.4693584442138672
5,1,0,1,1,5,1.4808931350708008
5,1,0,1,3,1,1.4641563892364502
5,1,0,1,3,2,1.4725406169891357
5,1,0,1,3,3,1.4695062637329102
5,1,0,1,3,4,1.4852306842803955
5,1,0,1,3,5,1.47001314163208
5,1,0,2,1,1,1.4686024188995361
5,1,0,2,1,2,1.5052995681762695
5,1,0,2,1,3,1.4669578075408936
5,1,0,2,1,4,1.483637809753418
5,1,0,2,1,5,1.4822359085083008
5,1,0,2,3,1,1.4674503803253174
5,1,0,2,3,2,1.474968671798706
5,1,0,2,3,3,1.4822752475738525
5,1,0,2,3,4,1.4624416828155518
5,1,0,2,3,5,1.4771666526794434
5,1,0,3,1,1,1.46445894241333
5,1,0,3,1,2,1.467242956161499
5,1,0,3,1,3,1.484496831893921
5,1,0,3,1,4,1.502953290939331
5,1,0,3,1,5,1.4972808361053467
5,1,0,3,3,1,1.49580979347229
5,1,0,3,3,2,1.4661922454833984
5,1,0,3,3,3,1.4806759357452393
5,1,0,3,3,4,1.4847798347473145
5,1,0,3,3,5,1.4906415939331055
5,1,0,4,1,1,1.4703526496887207
5,1,0,4,1,2,1.4712538719177246
5,1,0,4,1,3,1.4629757404327393
5,1,0,4,1,4,1.4736900329589844
5,1,0,4,1,5,1.4789271354675293
5,1,0,4,3,1,1.475440502166748
5,1,0,4,3,2,1.4710004329681396
5,1,0,4,3,3,1.4778611660003662
5,1,0,4,3,4,1.5611655712127686
5,1,0,4,3,5,1.464980125427246
5,1,0,8,1,1,1.4886987209320068
5,1,0,8,1,2,1.4765114784240723
5,1,0,8,1,3,1.4776625633239746
5,1,0,8,1,4,1.484382152557373
5,1,0,8,1,5,1.4688868522644043
5,1,0,8,3,1,1.4800465106964111
5,1,0,8,3,2,1.483943223953247
5,1,0,8,3,3,1.4922780990600586
5,1,0,8,3,4,1.4745442867279053
5,1,0,8,3,5,1.488685131072998
5,1,50,1,1,1,3.497422695159912
5,1,50,1,1,2,3.5020012855529785
5,1,50,1,1,3,5.502276659011841
5,1,50,1,1,4,3.487100601196289
5,1,50,1,1,5,3.4789888858795166
5,1,50,1,3,1,3.4816110134124756
5,1,50,1,3,2,3.4879190921783447
5,1,50,1,3,3,3.470710039138794
5,1,50,1,3,4,3.4776577949523926
5,1,50,1,3,5,3.503784418106079
5,1,50,2,1,1,4.478756904602051
5,1,50,2,1,2,4.484961748123169
5,1,50,2,1,3,4.49602198600769
5,1,50,2,1,4,4.481666803359985
5,1,50,2,1,5,4.477720022201538
5,1,50,2,3,1,4.53580117225647
5,1,50,2,3,2,4.499389410018921
5,1,50,2,3,3,4.517098665237427
5,1,50,2,3,4,4.4993085861206055
5,1,50,2,3,5,4.491064071655273
5,1,50,3,1,1,4.484442949295044
5,1,50,3,1,2,4.482183933258057
5,1,50,3,1,3,4.500061750411987
5,1,50,3,1,4,4.493120193481445
5,1,50,3,1,5,4.500484228134155
5,1,50,3,3,1,4.483809232711792
5,1,50,3,3,2,4.505277872085571
5,1,50,3,3,3,4.495009183883667
5,1,50,3,3,4,4.479329824447632
5,1,50,3,3,5,4.489150285720825
5,1,50,4,1,1,4.484565019607544
5,1,50,4,1,2,4.494094610214233
5,1,50,4,1,3,4.472035646438599
5,1,50,4,1,4,4.480329513549805
5,1,50,4,1,5,4.50372314453125
5,1,50,4,3,1,4.514021396636963
5,1,50,4,3,2,4.5028791427612305
5,1,50,4,3,3,4.485620021820068
5,1,50,4,3,4,4.486365556716919
5,1,50,4,3,5,4.482366323471069
5,1,50,8,1,1,5.490931749343872
5,1,50,8,1,2,5.48130464553833
5,1,50,8,1,3,5.4920594692230225
5,1,50,8,1,4,5.500017404556274
5,1,50,8,1,5,5.500340700149536
5,1,50,8,3,1,5.491784334182739
5,1,50,8,3,2,5.495015859603882
5,1,50,8,3,3,5.488737106323242
5,1,50,8,3,4,5.552130699157715
5,1,50,8,3,5,5.497556447982788
5,1,100,1,1,1,6.486389398574829
5,1,100,1,1,2,6.50644850730896
5,1,100,1,1,3,6.489611387252808
5,1,100,1,1,4,6.4977147579193115
5,1,100,1,1,5,6.501300573348999
5,1,100,1,3,1,6.514214038848877
5,1,100,1,3,2,6.5008251667022705
5,1,100,1,3,3,6.476618051528931
5,1,100,1,3,4,6.512190103530884
5,1,100,1,3,5,6.502076625823975
5,1,100,2,1,1,6.495745897293091
5,1,100,2,1,2,6.49396014213562
5,1,100,2,1,3,6.500962972640991
5,1,100,2,1,4,6.4947216510772705
5,1,100,2,1,5,6.5061280727386475
5,1,100,2,3,1,6.4926676750183105
5,1,100,2,3,2,6.483686685562134
5,1,100,2,3,3,6.511809349060059
5,1,100,2,3,4,6.4989800453186035
5,1,100,2,3,5,6.489765167236328
5,1,100,3,1,1,7.507779836654663
5,1,100,3,1,2,7.485478639602661
5,1,100,3,1,3,7.523454666137695
5,1,100,3,1,4,7.486111164093018
5,1,100,3,1,5,7.496559381484985
5,1,100,3,3,1,7.501828670501709
5,1,100,3,3,2,7.490990877151489
5,1,100,3,3,3,7.50885534286499
5,1,100,3,3,4,7.490082025527954
5,1,100,3,3,5,7.4928138256073
5,1,100,4,1,1,8.513538122177124
5,1,100,4,1,2,8.509374618530273
5,1,100,4,1,3,8.485365629196167
5,1,100,4,1,4,8.494020462036133
5,1,100,4,1,5,8.502100706100464
5,1,100,4,3,1,8.50251317024231
5,1,100,4,3,2,8.507277488708496
5,1,100,4,3,3,8.496153831481934
5,1,100,4,3,4,8.509698629379272
5,1,100,4,3,5,15.517234086990356
5,1,100,8,1,1,10.507906913757324
5,1,100,8,1,2,10.525748252868652
5,1,100,8,1,3,10.529899597167969
5,1,100,8,1,4,10.512900114059448
5,1,100,8,1,5,10.517528057098389
5,1,100,8,3,1,10.518865585327148
5,1,100,8,3,2,10.523264169692993
5,1,100,8,3,3,10.514668226242065
5,1,100,8,3,4,17.549037218093872
5,1,100,8,3,5,10.504758358001709
5,15,0,1,1,1,1.4793610572814941
5,15,0,1,1,2,1.475764513015747
5,15,0,1,1,3,1.4778358936309814
5,15,0,1,1,4,1.4624719619750977
5,15,0,1,1,5,1.4756264686584473
5,15,0,1,3,1,1.4773504734039307
5,15,0,1,3,2,1.4916510581970215
5,15,0,1,3,3,1.5265259742736816
5,15,0,1,3,4,1.463456392288208
5,15,0,1,3,5,1.4794368743896484
5,15,0,2,1,1,1.4892048835754395
5,15,0,2,1,2,1.4763963222503662
5,15,0,2,1,3,1.481572151184082
5,15,0,2,1,4,1.4768931865692139
5,15,0,2,1,5,1.4816949367523193
5,15,0,2,3,1,1.4700615406036377
5,15,0,2,3,2,1.4593136310577393
5,15,0,2,3,3,1.4648845195770264
5,15,0,2,3,4,1.4798691272735596
5,15,0,2,3,5,1.4759061336517334
5,15,0,3,1,1,1.473836898803711
5,15,0,3,1,2,1.4837207794189453
5,15,0,3,1,3,1.458116054534912
5,15,0,3,1,4,1.4794809818267822
5,15,0,3,1,5,1.4755048751831055
5,15,0,3,3,1,1.4679934978485107
5,15,0,3,3,2,1.4803447723388672
5,15,0,3,3,3,1.4765825271606445
5,15,0,3,3,4,1.4750041961669922
5,15,0,3,3,5,1.46665620803833
